Phone Issues,Time of Issue,Caller ID Number,Advertiser Business Phone Number,Type of Call or Message (Robocalls),Type of Call or Message (Telemarketing),State,Date (Ticket Date of Issue),Date (Ticket Created)
Telemarketing (including do not call and spoofing),12:34 PM,-,-,,Live Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),12:40 PM,917-284-9892,-,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),12:45 PM,218-203-9352,-,,Prerecorded Voice,North Carolina,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),12:45 PM,609-270-0113,609-270-0113,,Prerecorded Voice,Michigan,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),12:45 PM,610-896-6536,-,,Live Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),12:45 PM,855-210-3300,-,,Live Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),12:52 PM,732-807-5611,-,,Live Voice,Indiana,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),12:55 PM,646-668-6744,-,,Prerecorded Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:30 PM,713-446-1581,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:31 p.m.,952-873-7060,952-873-7060,,Text Messaage,Minnesota,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:37 PM,786-725-2940,-,,Prerecorded Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:39 PM,626-521-0108,626-521-0108,,Live Voice,Maine,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:39 PM,319-481-4047,-,,Prerecorded Voice,New Mexico,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:40 PM,561-926-5992,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:40 PM,845-831-6882,-,,Live Voice,Nevada,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:40 p.m.,218-964-4180,-,,Abandoned Calls,Illinois,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:42 PM,425-283-9197,425-283-9197,,Abandoned Calls,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:45 PM,855-678-6337,-,,Live Voice,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:46 PM,630-697-4650,-,,Prerecorded Voice,Illinois,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:47 PM,-,-,,Abandoned Calls,Minnesota,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:48 p.m.,-,-,,Live Voice,Arizona,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:49 PM,-,-,,Live Voice,Connecticut,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:50 AM,904-743-6694,-,,Live Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:50 PM,717-827-3311,-,,Abandoned Calls,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:52 PM,888-679-4051,617-939-0213,,Live Voice,Massachusetts,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:57 P.M.,866-746-7622,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),1:59 PM,706-592-5652,-,,Prerecorded Voice,Georgia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:00 PM,202-789-9870,206-855-3177,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:00 PM,408-520-9373,-,,Live Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:00 PM,480-383-2290,-,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:00 PM,509-315-5289,509-315-2890,,Prerecorded Voice,Maryland,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:00 PM,646-663-7943,-,,Abandoned Calls,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:00 PM,210-280-8487,-,,Live Voice,Tennessee,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:02 PM,317-331-5322,-,,Prerecorded Voice,Indiana,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:03 PM,512-415-9609,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:05 p.m.,-,-,,Live Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:06 PM,-,-,,Prerecorded Voice,Michigan,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:08 p.m.,763-445-4982,-,,Prerecorded Voice,Illinois,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:09 PM,703-596-3160,-,,Prerecorded Voice,Rhode Island,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:10 PM,-,509-315-2890,,Prerecorded Voice,Michigan,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:10 p.m.,267-233-6724,-,,Prerecorded Voice,Illinois,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:14 p.m.,337-344-7163,-,,Live Voice,Louisiana,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:15 PM,607-227-4149,-,,Prerecorded Voice,Oregon,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:15 PM,832-973-8069,-,,Live Voice,New Mexico,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:15 p.m.,-,-,,Prerecorded Voice,Illinois,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:15 p.m.,-,706-553-1550,,Live Voice,Georgia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:15 p.m.,212-777-6786,-,,Live Voice,Oklahoma,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:15 p.m.,877-764-5405,-,,Live Voice,Illinois,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:18 PM,360-209-0504,-,,Prerecorded Voice,Maryland,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:21 PM,571-281-1348,-,,Live Voice,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:23 PM,603-352-2307,-,,Live Voice,Nevada,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:24 PM,609-270-0113,-,,Prerecorded Voice,Idaho,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:28 p.m.,423-322-6145,-,,Prerecorded Voice,Tennessee,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:28 p.m.,602-753-5621,-,,Live Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:28 PM,763-445-4982,-,,Prerecorded Voice,Utah,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:29  P.M.,703-795-9102,-,,Prerecorded Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:30 PM,-,-,,Abandoned Calls,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:30 P.M.,855-402-0737,-,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:33 PM,613-748-4721,-,,Live Voice,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:33 p.m.,347-535-4483,-,,Prerecorded Voice,Colorado,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:37 PM,234-217-0305,-,,Prerecorded Voice,Tennessee,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:43 p.m.,-,917-485-4451,,Text Messaage,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:45 PM,614-670-0011,-,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:45 p.m.,-,800-766-7242,,Live Voice,Ohio,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:45 PM,404-460-8005,-,,Prerecorded Voice,Georgia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:46 PM,310-906-1702,-,,Live Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:49 PM,202-738-4504,202-738-4504,,Prerecorded Voice,Utah,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:50 PM,201-221-3300,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:55 PM,205-977-6549,773-312-4065,,Live Voice,Michigan,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:56 PM,-,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:56 PM,702-076-5524,-,,Live Voice,District of Columbia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),2:57 PM,917-410-6592,-,,Abandoned Calls,Alabama,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:00 PM,-,-,,Live Voice,Mississippi,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:00 PM,703-260-6318,-,,Prerecorded Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:00 PM,718-782-9466,-,,Abandoned Calls,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:00 PM,858-716-6364,858-716-6364,,Prerecorded Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:01 PM,-,-,,Prerecorded Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:04 PM,206-317-1708,206-317-1708,,Prerecorded Voice,Arizona,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:04 PM,760-284-3353,-,,Live Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:10 PM,-,360-322-6806,,Prerecorded Voice,Ohio,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:13 PM,-,949-966-0125,,Live Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:17 PM,501-566-1532,-,,Abandoned Calls,Illinois,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:19 PM,888-514-2665,-,,Live Voice,Colorado,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:20 PM,504-251-3731,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:20 PM,281-572-1073,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:22 p.m.,407-145-8231,-,,Live Voice,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:25 p.m.,734-224-6194,-,,Prerecorded Voice,Michigan,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:26 p.m.,877-230-6733,-,,Abandoned Calls,Connecticut,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:26 PM,202-301-2824,-,,Live Voice,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:27 PM,225-364-0130,-,,Live Voice,Ohio,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:28 PM,323-609-6006,-,,Prerecorded Voice,New Jersey,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:30 PM,404-287-2210,404-287-2210,,Prerecorded Voice,Nevada,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:30 PM,609-330-9855,-,,Prerecorded Voice,Wisconsin,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:30 p.m.,404-548-3565,-,,Abandoned Calls,Colorado,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:30 P.M.,-,513-546-1488,,Live Voice,Ohio,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:31 PM,480-327-6740,-,,Live Voice,Arizona,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:39 PM,267-666-6128,-,,Live Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:40 PM,815-388-1903,-,,Prerecorded Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:40 P.M.,775-443-4327,-,,Live Voice,Kansas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:45 PM,256-393-1061,-,,Live Voice,Alabama,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:52 PM,979-229-9948,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),3:55 p.m.,484-919-9352,-,,Live Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:00 PM,786-600-1318,-,,Abandoned Calls,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:00 PM,972-543-6509,-,,Prerecorded Voice,Arkansas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:00 p.m.,-,760-392-6953,,Live Voice,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:00 p.m.,202-738-4504,202-738-4504,,Prerecorded Voice,Georgia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:02 PM,-,-,,Live Voice,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:07 PM,616-239-0002,-,,Live Voice,Michigan,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:08 PM,319-487-4047,319-487-4047,,Abandoned Calls,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:11 PM,-,-,,Live Voice,Louisiana,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:20 PM,323-326-4118,-,,Live Voice,Indiana,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:20 PM,817-246-5809,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:24  P.M.,703-260-6318,-,,Prerecorded Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:24 P.M.,806-553-6928,-,,Live Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:26 PM,763-445-4982,-,,Prerecorded Voice,Kentucky,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:29 PM,229-442-9156,-,,Abandoned Calls,Georgia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:30 PM,703-596-3160,703-596-3160,,Live Voice,Tennessee,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:30 PM,832-246-7339,-,,Live Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:30 p.m.,631-339-7268,-,,Abandoned Calls,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:30 PM,-,-,,Live Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:35 PM,626-132-6658,-,,Abandoned Calls,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:38 P.M.,-,202-697-9920,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:39 PM,845-564-2186,-,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:39 PM,870-718-1934,-,,Abandoned Calls,Arkansas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:40 PM,458-206-7343,-,,Abandoned Calls,New Jersey,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:40 p.m.,847-234-9229,-,,Live Voice,Ohio,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:41 PM,903-847-0002,-,,Live Voice,Connecticut,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:43 PM,518-618-4675,-,,Prerecorded Voice,Georgia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:44 PM,707-836-9630,707-836-9630,,Live Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:45 P.M.,267-405-4685,-,,Live Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:47 PM,610-991-7418,877-548-8969,,Live Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:50 PM,945-361-9810,877-902-1726,,Live Voice,Georgia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:50 p.m.,331-701-2980,-,,Live Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),4:55 PM,304-809-1647,-,,Prerecorded Voice,West Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:00 PM,406-893-2166,406-893-2166,,Live Voice,Oklahoma,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:00 p.m.,-,-,,Prerecorded Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:02 PM,301-297-9313,-,,Prerecorded Voice,Maryland,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:05 p.m.,931-358-3776,-,,Abandoned Calls,Tennessee,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:10 p.m.,-,228-207-8381,,Live Voice,Mississippi,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:13 P.M.,632-519-0000,-,,Live Voice,Idaho,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:16 p.m.,845-365-2500,-,,Live Voice,Tennessee,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:17 PM,786-725-2940,-,,Prerecorded Voice,Kentucky,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:19 PM,806-717-2141,806-717-2141,,Live Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:20 PM,281-819-4143,-,,Abandoned Calls,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:21 PM,-,703-260-6318,,Prerecorded Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:22 PM,210-134-5445,-,,Live Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:23 PM,832-942-3917,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:24 PM,-,-,,Live Voice,Tennessee,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:35 PM,609-270-0113,-,,Prerecorded Voice,Minnesota,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:43 p.m.,703-787-1488,-,,Prerecorded Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:50 PM,808-800-4237,-,,Live Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),5:58 PM,509-855-7456,-,,Live Voice,West Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),6:00 PM,860-951-7352,-,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),6:19 p.m.,919-694-4054,-,,Live Voice,Maryland,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),6:27 P.M.,245-715-8652,-,,Abandoned Calls,Mississippi,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),6:40 PM,919-375-1252,-,,Abandoned Calls,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),6:44 PM,703-257-1085,-,,Abandoned Calls,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),6:46 PM,508-644-8077,-,,Live Voice,West Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:00 AM,347-571-9286,347-571-9286,,Live Voice,Utah,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:12 PM,281-201-0888,-,,Abandoned Calls,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:12 PM,805-284-0956,-,,Live Voice,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:13 PM,860-973-9150,-,,Live Voice,Connecticut,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:15 AM,623-363-4550,-,,Prerecorded Voice,Arizona,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:18 PM,-,202-656-8839,,Live Voice,Maryland,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:26 a.m.,989-641-6052,-,,Live Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:28 PM,832-963-3916,832-963-3916,,Prerecorded Voice,Maryland,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:33 PM,857-319-2055,-,,Prerecorded Voice,Massachusetts,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:41 PM,703-260-6318,-,,Prerecorded Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:51 PM,786-852-3699,-,,Live Voice,Delaware,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:53 AM,202-864-1311,-,,Prerecorded Voice,Colorado,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),7:56 AM,202-470-6049,-,,Prerecorded Voice,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:00 AM,786-701-4048,786-701-4048,,Abandoned Calls,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:00 P.M.,973-241-1660,-,,Prerecorded Voice,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:05 AM,786-701-4001,-,,Abandoned Calls,South Carolina,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:15 a.m.,-,-,,Live Voice,South Carolina,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:15 P.M.,501-566-1532,-,,Live Voice,Ohio,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:18 PM,914-988-0088,-,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:19 AM,240-374-4680,-,,Live Voice,Arizona,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:21 AM,904-337-5290,-,,Prerecorded Voice,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:23 AM,-,-,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:26 PM,703-260-6318,-,,Prerecorded Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:27 AM,737-777-2648,-,,Prerecorded Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:30 A.M.,440-799-6676,-,,Abandoned Calls,Ohio,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:30 PM,212-257-1381,-,,Live Voice,Massachusetts,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:31 PM,646-596-3325,-,,Live Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:45 AM,-,-,,Abandoned Calls,Arizona,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:51 A.M.,650-556-9613,-,,Prerecorded Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:53 AM,866-629-4135,-,,Live Voice,Alabama,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:55 AM,618-374-0150,-,,Prerecorded Voice,Indiana,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:57 AM,870-761-8534,-,,Prerecorded Voice,Alabama,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),8:57 PM,301-298-1646,-,,Prerecorded Voice,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:00 AM,541-790-0906,-,,Prerecorded Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:00 AM,706-426-3695,-,,Prerecorded Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:00 a.m.,-,-,,Live Voice,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:00 AM,718-569-5344,-,,Live Voice,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:00 A.M.,856-209-1573,-,,Prerecorded Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:05 AM,914-297-2477,-,,Live Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:05 PM,-,-,,Abandoned Calls,New Mexico,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:07 AM,-,-,,Live Voice,Nevada,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:10 AM,206-512-8478,-,,Abandoned Calls,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:13 AM,646-668-6744,-,,Prerecorded Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:14 AM,630-315-7174,-,,Prerecorded Voice,Illinois,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:15 AM,615-426-8848,-,,Prerecorded Voice,Tennessee,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:22 PM,941-379-1954,-,,Live Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:25 a.m.,214-612-6098,214-612-6098,,Live Voice,Ohio,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:30 AM,-,-,,Prerecorded Voice,Illinois,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:30 PM,676-227-1935,-,,Live Voice,Pennsylvania,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:31 a.m.,303-214-4003,-,,Live Voice,Texas,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:35 AM,206-877-2214,-,,Prerecorded Voice,Washington,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:35 AM,313-570-3344,-,,Prerecorded Voice,Virginia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:36 AM,469-712-7178,-,,Prerecorded Voice,California,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:36 a.m.,404-548-3565,-,,Prerecorded Voice,Georgia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:42 AM,612-360-1536,612-360-1536,,Prerecorded Voice,Minnesota,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:44 P.M.,832-275-5841,832-275-5841,,Prerecorded Voice,New Jersey,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:45 PM,773-328-8627,-,,Live Voice,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:48 AM,321-200-5840,-,,Prerecorded Voice,Florida,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:50 AM,-,770-926-1010,,Live Voice,Georgia,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:54 AM,954-734-8506,-,,Live Voice,Colorado,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:56 AM,646-668-6744,-,,Abandoned Calls,New York,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:57 AM,737-777-2648,-,,Live Voice,Delaware,10/9/2015,10/9/2015
Telemarketing (including do not call and spoofing),9:59 PM,832-942-3917,-,,Prerecorded Voice,District of Columbia,10/9/2015,10/9/2015
Robocalls,9:18 AM,415-259-8494,-,Prerecorded Voice,,California,10/16/2015,10/9/2015
Telemarketing (including do not call and spoofing),-,-,-,,,Arkansas,,10/9/2015
Telemarketing (including do not call and spoofing),-,-,-,,,California,,10/9/2015
Telemarketing (including do not call and spoofing),-,-,-,,,Mississippi,,10/9/2015
Telemarketing (including do not call and spoofing),-,-,-,,,South Carolina,,10/9/2015
Telemarketing (including do not call and spoofing),-,-,-,,,Washington,,10/9/2015
Telemarketing (including do not call and spoofing),-,763-445-4982,-,,,Mississippi,,10/9/2015
Robocalls,10:00 AM,800-892-2253,800-892-2235,Prerecorded Voice,,North Carolina,2/2/2015,10/10/2015
